sentenceId,raw_text,aspectTerms,aspectCategories
157,"Dumbbells are rusting at the seams, the sauna is blissfully empty at dawn, but trainers push $100/hour sessions aggressively.","[{'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'sauna', 'polarity': 'positive'}, {'term': 'trainers', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}]"
158,"The grip texture on barbells prevents slippage (genius!), but the 6 AM crowd hogs all the squat racks and leaves chalk everywhere.","[{'term': 'barbell grips', 'polarity': 'positive'}, {'term': '6 AM crowd', 'polarity': 'negative'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'chalk mess', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'crowd', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
159,"The new rowing machines are smooth and quiet, but the showers often run cold, and the parking lot floods after rain.","[{'term': 'rowing machines', 'polarity': 'positive'}, {'term': 'showers', 'polarity': 'negative'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'safety', 'polarity': 'negative'}]"
160,"The new Olympic lifting platforms are sturdy and well-spaced, but chalk dust clouds the air, and the 24/7 access was quietly reduced to 5 AM 11 PM.","[{'term': 'lifting platforms', 'polarity': 'positive'}, {'term': 'chalk dust', 'polarity': 'negative'}, {'term': '24/7 access', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'air_quality', 'polarity': 'negative'}, {'category': 'availability', 'polarity': 'negative'}]"
161,"Turf zones are perfect for sled pushes, but the foam rollers are worn flat, and the front desk staff mischarged my account twice.","[{'term': 'turf zones', 'polarity': 'positive'}, {'term': 'foam rollers', 'polarity': 'negative'}, {'term': 'front desk staff', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
162,"The hydration stations have filtered electrolyte water (a lifesaver!), but the yoga studio's thermostat is stuck at 80°F, and class waitlists cap at 5 people.","[{'term': 'hydration stations', 'polarity': 'positive'}, {'term': 'thermostat', 'polarity': 'negative'}, {'term': 'class waitlists', 'polarity': 'negative'}]","[{'category': 'amenities', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'crowd', 'polarity': 'negative'}]"
163,"Grip tape on pull-up bars prevents slipping, though the lap pool's lane dividers are broken, and the app's class booking glitch lost my spot.","[{'term': 'grip tape', 'polarity': 'positive'}, {'term': 'lane dividers', 'polarity': 'negative'}, {'term': 'app glitch', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
164,"The member lounge has ergonomic seating and free chargers, but the protein shake machine is always out of order, and trainers rush through form checks.","[{'term': 'member lounge', 'polarity': 'positive'}, {'term': 'protein shake machine', 'polarity': 'negative'}, {'term': 'trainers', 'polarity': 'negative'}]","[{'category': 'amenities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
165,"Battle ropes are thick and durable, but the stretching area's floor mats curl at the edges, and the sauna requires reservations now.","[{'term': 'battle ropes', 'polarity': 'positive'}, {'term': 'floor mats', 'polarity': 'negative'}, {'term': 'sauna reservations', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'safety', 'polarity': 'negative'}, {'category': 'availability', 'polarity': 'negative'}]"
166,"The dynamic lighting adapts to your workout intensity (love this!), but the deadlift platforms lack bumper plates, and locker room thefts went up last month.","[{'term': 'dynamic lighting', 'polarity': 'positive'}, {'term': 'deadlift platforms', 'polarity': 'negative'}, {'term': 'locker room thefts', 'polarity': 'negative'}]","[{'category': 'atmosphere', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'safety', 'polarity': 'negative'}]"
167,"Childcare services are reliable and staffed warmly, but the leg press machine's seat tears my shorts, and the AC drips water near the dumbbells.","[{'term': 'childcare services', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'AC leaks', 'polarity': 'negative'}]","[{'category': 'services', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
168,"The gym's podcast studio for recording workout playlists is innovative, but the cable machine pulleys squeak loudly, and towel rentals cost $3 each.","[{'term': 'podcast studio', 'polarity': 'positive'}, {'term': 'cable pulleys', 'polarity': 'negative'}, {'term': 'towel rentals', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
169,"Outdoor workout decks with sunset views are stunning, but the resistance bands snap frequently, and the water fountain's sensor barely works.","[{'term': 'outdoor decks', 'polarity': 'positive'}, {'term': 'resistance bands', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
170,"The virtual reality spin classes are exhilarating, but the rowing machines' foot straps fray easily, and the smoothie bar's blenders are painfully loud.","[{'term': 'VR spin classes', 'polarity': 'positive'}, {'term': 'rowing machines', 'polarity': 'negative'}, {'term': 'smoothie bar noise', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'atmosphere', 'polarity': 'negative'}]"
171,"Staff helped me perfect my squat form, but the cable machine handles are greasy, and the protein shakes taste artificial.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'cable handles', 'polarity': 'negative'}, {'term': 'protein shakes', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'amenities', 'polarity': 'negative'}]"
172,"The outdoor HIIT zone is motivating in good weather, but the resistance bands snap frequently, and class cancellation fees are unreasonable.","[{'term': 'HIIT zone', 'polarity': 'positive'}, {'term': 'resistance bands', 'polarity': 'negative'}, {'term': 'cancellation fees', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
173,"Loved the free physio consultations, but the deadlift platforms wobble, and the air conditioning shuts off randomly.","[{'term': 'physio consultations', 'polarity': 'positive'}, {'term': 'deadlift platforms', 'polarity': 'negative'}, {'term': 'air conditioning', 'polarity': 'negative'}]","[{'category': 'services', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
174,"The gym's app tracks reps perfectly, but the sauna is closed for renovations, and the 6 AM crowd hogs all the benches.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'sauna', 'polarity': 'negative'}, {'term': '6 AM crowd', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'crowd', 'polarity': 'negative'}]"
175,"Chalk dispensers are always full (a plus!), but the leg curl machine squeaks loudly, and towel rentals doubled in price.","[{'term': 'chalk dispensers', 'polarity': 'positive'}, {'term': 'leg curl machine', 'polarity': 'negative'}, {'term': 'towel rentals', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'maintenance', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
176,"The stretching area has ample space and mirrors, but the water fountain's sensor is broken, and weekend parking fills up by 8 AM.","[{'term': 'stretching area', 'polarity': 'positive'}, {'term': 'water fountain', 'polarity': 'negative'}, {'term': 'weekend parking', 'polarity': 'negative'}]","[{'category': 'space', 'polarity': 'positive'}, {'category': 'technology', 'polarity': 'negative'}, {'category': 'availability', 'polarity': 'negative'}]"
177,"Dynamic lighting adjusts to your heart rate'super cool! But the Smith machine's rails are misaligned, and locker rooms lack ventilation.","[{'term': 'dynamic lighting', 'polarity': 'positive'}, {'term': 'Smith machine', 'polarity': 'negative'}, {'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'air_quality', 'polarity': 'negative'}]"
178,"The gym hosts free nutrition seminars, but the cable pulleys jam frequently, and the front desk loses package deliveries.","[{'term': 'nutrition seminars', 'polarity': 'positive'}, {'term': 'cable pulleys', 'polarity': 'negative'}, {'term': 'front desk', 'polarity': 'negative'}]","[{'category': 'education', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
179,"The lap pool is pristine and rarely crowded, but the stair climbers are outdated, and the app's heart rate monitor lags.","[{'term': 'lap pool', 'polarity': 'positive'}, {'term': 'stair climbers', 'polarity': 'negative'}, {'term': 'heart rate monitor', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
180,"The new battle ropes are thick and easy to grip, but the stretching mats are worn thin, and the Wi-Fi drops during peak hours.","[{'term': 'battle ropes', 'polarity': 'positive'}, {'term': 'stretching mats', 'polarity': 'negative'}, {'term': 'Wi-Fi', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'maintenance', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
181,"The gym's recovery lounge has massage guns and foam rollers, but the treadmills are outdated, and the Wi-Fi is painfully slow.","[{'term': 'recovery lounge', 'polarity': 'positive'}, {'term': 'treadmills', 'polarity': 'negative'}, {'term': 'Wi-Fi', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
182,"The outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
183,"The gym's app tracks calories burned accurately, but the squat racks are too close together, and the locker room smells musty.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'space', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
184,"The personal trainers are certified and attentive, but the leg press machine's seat is torn, and the AC vents drip water.","[{'term': 'personal trainers', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'AC vents', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
185,"The gym's rooftop track offers stunning views, but the ellipticals are outdated, and the smoothie bar's prices are outrageous.","[{'term': 'rooftop track', 'polarity': 'positive'}, {'term': 'ellipticals', 'polarity': 'negative'}, {'term': 'smoothie bar prices', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
186,"The gym's biometric scanners make check-ins seamless, but the cable machine's pulleys are noisy, and the showers lack hot water.","[{'term': 'biometric scanners', 'polarity': 'positive'}, {'term': 'cable pulleys', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
187,"The gym's VR cycling classes are immersive and fun, but the rowing machines' foot straps are frayed, and the parking lot is poorly lit.","[{'term': 'VR cycling', 'polarity': 'positive'}, {'term': 'rowing machines', 'polarity': 'negative'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'safety', 'polarity': 'negative'}]"
188,"The gym's free mobility workshops are incredibly helpful, but the dumbbell racks are disorganized, and the locker room benches are wobbly.","[{'term': 'mobility workshops', 'polarity': 'positive'}, {'term': 'dumbbell racks', 'polarity': 'negative'}, {'term': 'locker room benches', 'polarity': 'negative'}]","[{'category': 'education', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
189,"The gym's outdoor boot camp classes are energizing, but the kettlebells are rusting, and the water fountain's pressure is weak.","[{'term': 'boot camp classes', 'polarity': 'positive'}, {'term': 'kettlebells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
190,"The gym's cryotherapy chamber is a game-changer for recovery, but the treadmills are outdated, and the locker room smells musty.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'treadmills', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
191,"The gym's outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
192,"The gym's app tracks calories burned accurately, but the squat racks are too close together, and the locker room smells musty.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'space', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
193,"The personal trainers are certified and attentive, but the leg press machine's seat is torn, and the AC vents drip water.","[{'term': 'personal trainers', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'AC vents', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
194,"The gym's rooftop track offers stunning views, but the ellipticals are outdated, and the smoothie bar's prices are outrageous.","[{'term': 'rooftop track', 'polarity': 'positive'}, {'term': 'ellipticals', 'polarity': 'negative'}, {'term': 'smoothie bar prices', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
195,"The gym's biometric scanners make check-ins seamless, but the cable machine's pulleys are noisy, and the showers lack hot water.","[{'term': 'biometric scanners', 'polarity': 'positive'}, {'term': 'cable pulleys', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
196,"The gym's VR cycling classes are immersive and fun, but the rowing machines foot straps are frayed, and the parking lot is poorly lit.","[{'term': 'VR cycling', 'polarity': 'positive'}, {'term': 'rowing machines', 'polarity': 'negative'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'safety', 'polarity': 'negative'}]"
197,"The gym's free mobility workshops are incredibly helpful, but the dumbbell racks are disorganized, and the locker room benches are wobbly.","[{'term': 'mobility workshops', 'polarity': 'positive'}, {'term': 'dumbbell racks', 'polarity': 'negative'}, {'term': 'locker room benches', 'polarity': 'negative'}]","[{'category': 'education', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
198,"The gym's outdoor boot camp classes are energizing, but the kettlebells are rusting, and the water fountain's pressure is weak.","[{'term': 'boot camp classes', 'polarity': 'positive'}, {'term': 'kettlebells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
199,"The gym's cryotherapy chamber is a game-changer for recovery, but the treadmills are outdated, and the locker room smells musty.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'treadmills', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
200,"The gym's outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
201,"The gym's community events, like member meetups and fitness challenges, are fantastic, but the childcare room is too small and understaffed.","[{'term': 'community events', 'polarity': 'positive'}, {'term': 'childcare room', 'polarity': 'negative'}]","[{'category': 'community', 'polarity': 'positive'}, {'category': 'childcare', 'polarity': 'negative'}]"
202,"The eco-friendly cleaning products leave a fresh scent, but the gym's paper towel waste is excessive, and recycling bins are rarely emptied.","[{'term': 'eco-friendly products', 'polarity': 'positive'}, {'term': 'paper towel waste', 'polarity': 'negative'}, {'term': 'recycling bins', 'polarity': 'negative'}]","[{'category': 'sustainability', 'polarity': 'positive'}, {'category': 'waste_management', 'polarity': 'negative'}]"
203,"The gym's percussion massagers in the recovery lounge are top-notch, but the foam rollers are worn out, and the stretching area is cramped.","[{'term': 'percussion massagers', 'polarity': 'positive'}, {'term': 'foam rollers', 'polarity': 'negative'}, {'term': 'stretching area', 'polarity': 'negative'}]","[{'category': 'recovery_tech', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'space', 'polarity': 'negative'}]"
204,"The gym's member etiquette workshops have improved behavior, but the sauna is often overcrowded, and the water cooler is frequently empty.","[{'term': 'member etiquette', 'polarity': 'positive'}, {'term': 'sauna', 'polarity': 'negative'}, {'term': 'water cooler', 'polarity': 'negative'}]","[{'category': 'community', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
205,"The gym's outdoor boot camp classes are energizing, but the kettlebells are rusting, and the water fountain's pressure is weak.","[{'term': 'boot camp classes', 'polarity': 'positive'}, {'term': 'kettlebells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
206,"The gym's cryotherapy chamber is a game-changer for recovery, but the treadmills are outdated, and the locker room smells musty.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'treadmills', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
207,"The gym's outdoor yoga deck is serene and well-maintained, but the dumbbells are mismatched, and the water fountain's filter is clogged.","[{'term': 'yoga deck', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'water fountain', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
208,"The gym's app tracks calories burned accurately, but the squat racks are too close together, and the locker room smells musty.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'locker room', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'space', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
209,"The personal trainers are certified and attentive, but the leg press machine's seat is torn, and the AC vents drip water.","[{'term': 'personal trainers', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'AC vents', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
210,"The gym's rooftop track offers stunning views, but the ellipticals are outdated, and the smoothie bar's prices are outrageous.","[{'term': 'rooftop track', 'polarity': 'positive'}, {'term': 'ellipticals', 'polarity': 'negative'}, {'term': 'smoothie bar prices', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
211,"As a beginner, I was nervous, but the staff was super welcoming and showed me how to use every machine. The gym is clean, but the dumbbells are a bit heavy for me.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'cleanliness', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'cleanliness', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}]"
212,"I joined last week, and the trainers are amazing! They explained everything clearly, but the gym gets too crowded after 5 PM, and I can't find a free treadmill.","[{'term': 'trainers', 'polarity': 'positive'}, {'term': 'crowd', 'polarity': 'negative'}, {'term': 'treadmills', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'crowd', 'polarity': 'negative'}, {'category': 'availability', 'polarity': 'negative'}]"
213,"The gym is beginner-friendly, but the locker rooms are always messy, and I wish there were more signs explaining how to use the machines.","[{'term': 'beginner-friendly', 'polarity': 'positive'}, {'term': 'locker rooms', 'polarity': 'negative'}, {'term': 'machine instructions', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'cleanliness', 'polarity': 'negative'}, {'category': 'equipment', 'polarity': 'negative'}]"
214,"I've been coming here for a year, and the equipment variety is great, but the squat racks are always taken, and the Wi-Fi is spotty.","[{'term': 'equipment variety', 'polarity': 'positive'}, {'term': 'squat racks', 'polarity': 'negative'}, {'term': 'Wi-Fi', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'technology', 'polarity': 'negative'}]"
215,"The group classes are fun and challenging, but the yoga mats are worn out, and the showers are often out of hot water.","[{'term': 'group classes', 'polarity': 'positive'}, {'term': 'yoga mats', 'polarity': 'negative'}, {'term': 'showers', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
216,"I love the gym's app for tracking my progress, but the leg press machine is broken, and the smoothie bar is overpriced.","[{'term': 'gym app', 'polarity': 'positive'}, {'term': 'leg press machine', 'polarity': 'negative'}, {'term': 'smoothie bar', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
217,"The Olympic lifting platforms are solid, but the gym needs more heavy dumbbells, and the chalk dispensers are always empty.","[{'term': 'lifting platforms', 'polarity': 'positive'}, {'term': 'heavy dumbbells', 'polarity': 'negative'}, {'term': 'chalk dispensers', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'maintenance', 'polarity': 'negative'}]"
218,"The cryotherapy chamber is a game-changer for recovery, but the gym's Wi-Fi is unreliable, and the parking lot is too small.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}, {'term': 'Wi-Fi', 'polarity': 'negative'}, {'term': 'parking lot', 'polarity': 'negative'}]","[{'category': 'recovery', 'polarity': 'positive'}, {'category': 'technology', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
219,"The advanced powerlifting classes are fantastic, but the barbells are rusty, and the gym's music playlist is repetitive.","[{'term': 'powerlifting classes', 'polarity': 'positive'}, {'term': 'barbells', 'polarity': 'negative'}, {'term': 'music playlist', 'polarity': 'negative'}]","[{'category': 'class_offerings', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'atmosphere', 'polarity': 'negative'}]"
220,"The gym's equipment is top-notch, but the staff needs better training on customer service. I also noticed a lot of broken locker keys in the changing rooms.","[{'term': 'equipment', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}, {'term': 'locker keys', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}, {'category': 'facilities', 'polarity': 'negative'}]"
221,"I love how spacious the gym is, but the air conditioning is just terrible during the summer. Also, the floor mats are slippery when wet.","[{'term': 'gym', 'polarity': 'positive'}, {'term': 'air conditioning', 'polarity': 'negative'}, {'term': 'floor mats', 'polarity': 'negative'}]","[{'category': 'space', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
222,"The staff is incredibly friendly, but I wish the hours were more flexible, especially during holidays. The swimming pool could use more cleaning, though.","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'hours', 'polarity': 'negative'}, {'term': 'swimming pool', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
223,"The gym's Wi-Fi was surprisingly fast, but the dumbbells are always scattered around the floor, which is dangerous. The music is often too loud as well.","[{'term': 'Wi-Fi', 'polarity': 'positive'}, {'term': 'dumbbells', 'polarity': 'negative'}, {'term': 'music', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'positive'}, {'category': 'equipment', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
224,"The gym has great machines for cardio, but there are not enough weights in the free weights area. I also dislike the strict rules about gym attire.","[{'term': 'machines', 'polarity': 'positive'}, {'term': 'weights', 'polarity': 'negative'}, {'term': 'gym attire', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}, {'category': 'rules', 'polarity': 'negative'}]"
225,"The gym's location is fantastic, but there's a lack of parking spaces. The lockers are small, and they don't fit my gym bag.","[{'term': 'location', 'polarity': 'positive'}, {'term': 'parking spaces', 'polarity': 'negative'}, {'term': 'lockers', 'polarity': 'negative'}]","[{'category': 'location', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'negative'}]"
226,"The yoga classes are excellent, but I had trouble getting a spot. The lighting in the studio is also too dim, which I don't like.","[{'term': 'yoga classes', 'polarity': 'positive'}, {'term': 'spot', 'polarity': 'negative'}, {'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'availability', 'polarity': 'negative'}, {'category': 'environment', 'polarity': 'negative'}]"
227,"The swimming pool is always too cold for a comfortable swim, and the changing rooms are so cramped, it's hard to get dressed. The reception desk could be more efficient.","[{'term': 'swimming pool', 'polarity': 'negative'}, {'term': 'changing rooms', 'polarity': 'negative'}, {'term': 'reception desk', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
